FrontUpper1, FrontUpper2, FrontUpper3
SingleWord,Text,Image
Statistik,Emne i matematik der handler om at beskrive virkeligheden ved hjælp af data.,Billeder/statistik.png
Graf,"Et en billede af nogle data, fx et punktdiagram. Bliver ofte vist på et koordinatsystem.",Billeder/graf.jpg
Data,"En samling af informationer - ofte tal. Det kan fx være noget, som man har målt, som hvor høje hver elev i klassen er.",Billeder/data.png
Koordinatsystem,"En x-akse og y-akse, bruges til at vise data, fx. et punktplot.",Billeder/koordinatsystem.png
Interval,"Alle tallene i mellem to tal (også komma tal). Et interval med alle tallene mellem 2 og 6 skrives [2:6].",Billeder/interval.png
Lille interval,"Når der er kort afstand mellem de to tal som afgrænser intervallet. Fx. [15:17]",Billeder/intervallille.png
Stort interval,"Når der er stor afstand mellem de to tal som afgrænser intervallet. Fx [2:14]",Billeder/intervalstor.png
Fremskrivning,"At fremskrive data, betyder at forudsige eller gætte hvad de vil blive på et senere tidspunkt. \\n Hvis man kender arealet og prisen for nogle forskellige huse, kan vi gætte på prisen for et større hus, ved at fremskrive priserne.",Billeder/forudsige.jpg
Præcis,Når man ved noget med stor sikkerhed at det præcist.,Billeder/præcis.png
Upræcis,Når man er usikker på noget er det upræcist.,Billeder/upræcis.jpg
Lineær,"Når data danner en ret linje i et punktplot, siger man at der er en lineær korrelation.",Billeder/lineær.png
Ikke-lineær,"Hvis data IKKE danner en ret linje i et punktplot, siger man er der er en ikke-lineær korrelation.",Billeder/ikkelineær.png
Punktdiagram,"Et diagram med punkter, kan vises i et koordinatsystem.",Billeder/punktdiagram.png
