FrontUpper1, BackUpper1
SingleWord, Text
"32434", Hvor mange enere er der i dit tal?
"3432,3", Hvor mange tiere er der i dit tal?
"902,56", Hvor mange hundreder er der i dit tal?
"389809,21", Hvor mange tusinder er der i dit tal?
"4432,321", Hvor mange tiendedele er der i dit tal?
"991239239,24", Hvor mange hundrededele er der i dit tal?
"1222,0", Hvor mange tusindedele er der i dit tal?
"0,001", Hvor mange enere er der i dit tal?
"0,010", Hvor mange tiere er der i dit tal?
"1,534553", Hvor mange hundreder er der i dit tal?
"86,21231", Hvor mange tusinder er der i dit tal?
"9923,501", Hvor mange tiendedele er der i dit tal?
"99002309,204", Hvor mange hundrededele er der i dit tal?
"124222,01", Hvor mange tusindedele er der i dit tal?
"324", Hvor mange enere er der i dit tal?
"111,3", Hvor mange tiere er der i dit tal?
"9200,000", Hvor mange hundreder er der i dit tal?
"13299,201", Hvor mange tusinder er der i dit tal?
"132,222", Hvor mange tiendedele er der i dit tal?
"9000000000", Hvor mange hundrededele er der i dit tal?
"999,999", Hvor mange tusindedele er der i dit tal?

